data,ora,zona,categoria
2026-01-05,22:30,Zona_A,Furto
2026-01-05,09:15,Zona_B,Danneggiamento
2026-01-06,01:10,Zona_B,Rapina
2026-01-06,18:45,Zona_A,Furto
2026-01-07,23:20,Zona_C,Rapina
2026-01-07,14:05,Zona_D,Vandalismo
2026-01-08,07:40,Zona_A,Danneggiamento
2026-01-08,21:55,Zona_A,Furto
2026-01-09,03:30,Zona_C,Aggressione
2026-01-09,11:20,Zona_B,Furto
2026-01-10,19:10,Zona_A,Furto
2026-01-10,20:40,Zona_D,Vandalismo
2026-01-11,15:25,Zona_B,Danneggiamento
2026-01-11,22:05,Zona_A,Rapina
2026-01-12,02:50,Zona_C,Aggressione
2026-01-12,10:35,Zona_D,Furto
2026-01-13,17:15,Zona_A,Furto
2026-01-13,23:45,Zona_B,Rapina
2026-01-14,06:20,Zona_C,Danneggiamento
2026-01-14,13:00,Zona_A,Vandalismo
2026-01-15,21:30,Zona_A,Furto
2026-01-15,00:45,Zona_D,Aggressione
2026-01-16,12:10,Zona_B,Furto
2026-01-16,19:50,Zona_A,Danneggiamento
2026-01-17,23:15,Zona_C,Rapina
